XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20312
1984.874941,0.020912
1985.116000,0.020942
1985.357058,0.021194
1985.598117,0.021606
1985.839175,0.021861
1986.080234,0.021802
1986.321292,0.021616
1986.562350,0.021483
1986.803409,0.021393
1987.044467,0.021341
1987.285526,0.021351
1987.526584,0.021369
1987.767642,0.021319
1988.008701,0.021169
1988.249759,0.020993
1988.490818,0.021071
1988.731876,0.021423
1988.972934,0.021628
1989.213993,0.021531
1989.455051,0.021411
1989.696110,0.021539
1989.937168,0.021912
1990.178226,0.022179
1990.419285,0.021997
1990.660343,0.021616
1990.901402,0.021495
1991.142460,0.021581
1991.383519,0.021544
1991.624577,0.021239
1991.865635,0.020807
1992.106694,0.020590
1992.347752,0.020569
1992.588811,0.020557
1992.829869,0.020599
1993.070927,0.020825
1993.311986,0.021285
1993.553044,0.021847
1993.794103,0.022153
1994.035161,0.022099
1994.276219,0.022132
1994.517278,0.022410
1994.758336,0.022388
1994.999395,0.021886
1995.240453,0.021430
1995.481511,0.021258
1995.722570,0.021135
1995.963628,0.020975
1996.204687,0.020864
1996.445745,0.020819
1996.686804,0.020833
1996.927862,0.020888
1997.168920,0.020920
1997.409979,0.020878
1997.651037,0.020782
1997.892096,0.020752
1998.133154,0.021029
1998.374212,0.021894
1998.615271,0.023283
1998.856329,0.024420
1999.097388,0.024395
1999.338446,0.023412
1999.579504,0.022515
1999.820563,0.022093
2000.061621,0.021743
2000.302680,0.021329
2000.543738,0.021085
2000.784796,0.021000
2001.025855,0.020924
2001.266913,0.020862
2001.507972,0.020852
2001.749030,0.020883
2001.990089,0.020944
2002.231147,0.020995
2002.472205,0.020975
2002.713264,0.021063
2002.954322,0.022043
2003.195381,0.024607
2003.436439,0.027408
2003.677497,0.027751
2003.918556,0.025483
2004.159614,0.023036
2004.400673,0.021691
2004.641731,0.021056
2004.882789,0.020725
2005.123848,0.020570
2005.364906,0.020527
2005.605965,0.020642
2005.847023,0.020907
2006.088081,0.021110
2006.329140,0.021124
2006.570198,0.021141
2006.811257,0.021343
2007.052315,0.021735
2007.293374,0.022661
2007.534432,0.024506
2007.775490,0.026485
2008.016549,0.027795
2008.257607,0.028934
2008.498666,0.029249
2008.739724,0.027177
2008.980782,0.023860
2009.221841,0.021674
2009.462899,0.020935
2009.703958,0.020781
2009.945016,0.020790
2010.186074,0.020859
2010.427133,0.020887
2010.668191,0.020875
2010.909250,0.020968
2011.150308,0.021184
2011.391366,0.021561
2011.632425,0.022820
2011.873483,0.025492
2012.114542,0.027869
2012.355600,0.027719
2012.596659,0.026373
2012.837717,0.027280
2013.078775,0.030612
2013.319834,0.032152
2013.560892,0.029121
2013.801951,0.024411
2014.043009,0.021643
2014.284067,0.020874
2014.525126,0.020816
2014.766184,0.020951
2015.007243,0.021068
2015.248301,0.021031
2015.489359,0.021025
2015.730418,0.021578
2015.971476,0.023644
2016.212535,0.027467
2016.453593,0.030780
2016.694651,0.030414
2016.935710,0.027178
2017.176768,0.024739
2017.417827,0.024566
2017.658885,0.028026
2017.899944,0.034606
2018.141002,0.037996
2018.382060,0.033485
2018.623119,0.026284
2018.864177,0.022223
2019.105236,0.021053
2019.346294,0.020865
2019.587352,0.020924
2019.828411,0.021249
2020.069469,0.022623
2020.310528,0.026383
2020.551586,0.031677
2020.792644,0.034228
2021.033703,0.031945
2021.274761,0.027924
2021.515820,0.024894
2021.756878,0.023029
2021.997936,0.022553
2022.238995,0.025228
2022.480053,0.033371
2022.721112,0.043809
2022.962170,0.045945
2023.203229,0.036906
2023.444287,0.026937
2023.685345,0.022389
2023.926404,0.021496
2024.167462,0.022011
2024.408521,0.024663
2024.649579,0.030739
2024.890637,0.037281
2025.131696,0.038425
2025.372754,0.033868
2025.613813,0.028402
2025.854871,0.024656
2026.095929,0.022667
2026.336988,0.021945
2026.578046,0.021955
2026.819105,0.023501
2027.060163,0.030473
2027.301221,0.045466
2027.542280,0.059152
2027.783338,0.056000
2028.024397,0.040196
2028.265455,0.028084
2028.506514,0.025322
2028.747572,0.030257
2028.988630,0.039398
2029.229689,0.045079
2029.470747,0.041916
2029.711806,0.034102
2029.952864,0.027626
2030.193922,0.024028
2030.434981,0.022537
2030.676039,0.022071
2030.917098,0.021935
2031.158156,0.022189
2031.399214,0.023526
2031.640273,0.028991
2031.881331,0.044299
2032.122390,0.067032
2032.363448,0.076605
2032.604506,0.062199
2032.845565,0.045993
2033.086623,0.044885
2033.327682,0.051282
2033.568740,0.050372
2033.809799,0.040916
2034.050857,0.031117
2034.291915,0.025176
2034.532974,0.022628
2034.774032,0.022031
2035.015091,0.022216
2035.256149,0.022498
2035.497207,0.022696
2035.738266,0.023065
2035.979324,0.024289
2036.220383,0.028932
2036.461441,0.043862
2036.702499,0.073585
2036.943558,0.103965
2037.184616,0.109277
2037.425675,0.091907
2037.666733,0.070435
2037.907791,0.051143
2038.148850,0.036200
2038.389908,0.027530
2038.630967,0.023908
2038.872025,0.022821
2039.113084,0.022632
2039.354142,0.022634
2039.595200,0.022585
2039.836259,0.022601
2040.077317,0.023004
2040.318376,0.023936
2040.559434,0.025652
2040.800492,0.030463
2041.041551,0.046880
2041.282609,0.086180
2041.523668,0.133757
2041.764726,0.136655
2042.005784,0.094332
2042.246843,0.054622
2042.487901,0.034131
2042.728960,0.026677
2042.970018,0.024319
2043.211076,0.023499
2043.452135,0.023345
2043.693193,0.023506
2043.934252,0.023589
2044.175310,0.023601
2044.416369,0.023899
2044.657427,0.024850
2044.898485,0.027512
2045.139544,0.035882
2045.380602,0.056918
2045.621661,0.095568
2045.862719,0.147404
2046.103777,0.183036
2046.344836,0.159198
2046.585894,0.100121
2046.826953,0.055407
2047.068011,0.034772
2047.309069,0.027863
2047.550128,0.025714
2047.791186,0.025098
2048.032245,0.025004
2048.273303,0.024861
2048.514362,0.024740
2048.755420,0.025336
2048.996478,0.028268
2049.237537,0.038155
2049.478595,0.059813
2049.719654,0.085793
2049.960712,0.097333
2050.201770,0.100699
2050.442829,0.125585
2050.683887,0.169183
2050.924946,0.170355
2051.166004,0.115539
2051.407062,0.065369
2051.648121,0.040488
2051.889179,0.031697
2052.130238,0.028899
2052.371296,0.027724
2052.612354,0.027051
2052.853413,0.027412
2053.094471,0.031579
2053.335530,0.045703
2053.576588,0.072183
2053.817647,0.094352
2054.058705,0.088407
2054.299763,0.066462
2054.540822,0.058184
2054.781880,0.079521
2055.022939,0.135281
2055.263997,0.200040
2055.505055,0.195397
2055.746114,0.128024
2055.987172,0.072937
2056.228231,0.046183
2056.469289,0.036396
2056.710347,0.033177
2056.951406,0.033269
2057.192464,0.040209
2057.433523,0.060554
2057.674581,0.089318
